Alpha-numeric code(s),Alpha-numeric code(s),Station name,Station name,Station name,Opening,Name(s) during planning stages,Abbreviation,Location(s),Connection(s) to other transport
In operation,Future,English • Malay,Chinese,Tamil,Opening,Name(s) during planning stages,Abbreviation,Location(s),Connection(s) to other transport
CC21,N/A,Holland Village,荷兰村,ஹாலந்து வில்லேஜ்,8 October 2011,"Holland, Holland Village / Chip Bee",HLV,"Bukit Timah, Queenstown",
CC22  EW21,N/A,Buona Vista,波那维斯达,புவன விஸ்தா,8 October 2011,Buona Vista,BNV,Queenstown,Buona Vista Bus Terminal  Ghim Moh Bus Terminal
CC23,N/A,one-north,纬壹,ஒன்-நார்த்,8 October 2011,one-north / Portsdown / Ayer Rajah,ONH,Queenstown,
CC24,N/A,Kent Ridge,肯特岗,கெண்ட் ரிஜ்,8 October 2011,National University Hospital / Kent Ridge,KRG,Queenstown,
CC25,N/A,Haw Par Villa,虎豹别墅,ஹா பர் வில்லா,8 October 2011,West Coast / Haw Par Villa,HPV,Queenstown,
CC26,N/A,Pasir Panjang,巴西班让,பாசிர் பாஞ்சாங்,8 October 2011,Pasir Panjang / Bukit Chandu,PPJ,Queenstown,
CC27,N/A,Labrador Park,拉柏多公园,லாப்ரடார் பூங்கா,8 October 2011,Alexandra / Tanjong Berlayar,LBD,Bukit Merah,
CC28,N/A,Telok Blangah,直落布兰雅,தெலுக் பிளாங்கா,8 October 2011,Telok Blangah / Keppel,TLB,Bukit Merah,
CC29  NE1,N/A,HarbourFront,港湾,துறைமுகம்,8 October 2011,HarbourFront,HBF,Bukit Merah,"HarbourFront Bus Interchange, Sentosa Express"
Circle Line Stage 6,Circle Line Stage 6,Circle Line Stage 6,Circle Line Stage 6,Circle Line Stage 6,Circle Line Stage 6,Circle Line Stage 6,Circle Line Stage 6,Circle Line Stage 6,Circle Line Stage 6
N/A,CC30,Keppel,吉宝,கெப்பல்,2026,Keppel / Keppel Harbour / Keppel Port,KPL,Bukit Merah,
N/A,CC31,Cantonment,广东民,கெண்டொன்மன்,2026,Cantonment / Tanjong Pagar West / Spottiswoode,CTM,Bukit Merah,
N/A,CC32,Prince Edward Road,爱德华太子路,பிரின்ஸ் எட்வர்ட் ரோடு,2026,"Prince Edward, Prince Edward Road / Palmer / Marina Coastal",PER,Downtown Core,
Circle Line Extension (CCLe),Circle Line Extension (CCLe),Circle Line Extension (CCLe),Circle Line Extension (CCLe),Circle Line Extension (CCLe),Circle Line Extension (CCLe),Circle Line Extension (CCLe),Circle Line Extension (CCLe),Circle Line Extension (CCLe),Circle Line Extension (CCLe)
CE1  DT16,CC34,Bayfront,海湾舫,பேஃபிரண்ட்,14 January 2012,Bayfront / Marina Bay Sands,BFT,Downtown Core,
CE2  NS27,TE20  CC33,Marina Bay,滨海湾,மரீனா பே,14 January 2012,Marina Bay,MRB,"Downtown Core, Straits View Planning Area",
Downtown Line (DTL),Downtown Line (DTL),Downtown Line (DTL),Downtown Line (DTL),Downtown Line (DTL),Downtown Line (DTL),Downtown Line (DTL),Downtown Line (DTL),Downtown Line (DTL),Downtown Line (DTL)
N/A,DT  NS6,Sungei Kadut,双溪加株,சுங்கை காடுத்,Mid-2030s,Sungei Kadut,TBA,Sungei Kadut,
DT1  BP6,N/A,Bukit Panjang,武吉班让,புக்கிட் பாஞ்சாங்,27 December 2015,Petir,BKP,"Bukit Batok, Bukit Panjang, Choa Chu Kang",Bukit Panjang Bus Interchange
DT2,N/A,Cashew,凯秀,கேஷ்யூ,27 December 2015,Cashew / Chestnut / Hazel Park,CSW,"Bukit Batok, Bukit Panjang",
DT3,N/A,Hillview,山景,ஹில்வியூ,27 December 2015,Hillview / Dairy Farm / Upper Bukit Timah,HVW,"Bukit Batok, Bukit Panjang",
N/A,DT4,Hume,谦道,ஹியூம்,2025,Hume,TBA,"Bukit Batok, Bukit Panjang",
DT5,N/A,Beauty World,美世界,பியூட்டி வோர்ல்ட்,27 December 2015,Beauty World / Anak Bukit / Seventh Mile,BTW,Bukit Timah,Beauty World Bus Interchange[15]
DT6,N/A,King Albert Park,阿尔柏王园,கிங் ஆல்பர்ட் பார்க்,27 December 2015,Blackmore / Dunearn / King Albert Park,KAP,Bukit Timah,
DT7,N/A,Sixth Avenue,第六道,சிக்ஸ்த் அவென்யூ,27 December 2015,Sixth Avenue / Bukit Timah / Eng Neo,SAV,Bukit Timah,
DT8,N/A,Tan Kah Kee,陈嘉庚,டான் கா கீ,27 December 2015,Duchess / Hillcrest / Watten / Kah Kee,TKK,Bukit Timah,
DT9  CC19,N/A,Botanic Gardens • Kebun Bunga,植物园,பூ மலை,27 December 2015,Botanic Gardens,BTN,Tanglin,
DT10,TE11,Stevens,史蒂芬,ஸ்டீவன்ஸ்,27 December 2015,Stevens / Whitley / Wayang Satu,STV,"Novena, Tanglin",
DT11  NS21,N/A,Newton,纽顿,நியூட்டன்,27 December 2015,Newton,NEW,Newton,
DT12  NE7,N/A,Little India,小印度,லிட்டில் இந்தியா,27 December 2015,Little India,LTI,"Kallang, Rochor",
DT13,N/A,Rochor,梧槽,ரோச்சோர்,27 December 2015,Rochor / Tekka / Ophir,RCR,Rochor,
DT14  EW12,N/A,Bugis,武吉士,பூகிஸ்,22 December 2013,Bugis,BGS,"Downtown Core, Rochor",
DT15  CC4,N/A,Promenade,宝门廊,புரொமனாட்,22 December 2013,Promenade,PMN,Downtown Core,Marina Centre Bus Terminal
DT16  CE1,N/A,Bayfront,海湾舫,பேஃபிரண்ட்,22 December 2013,Bayfront,BFT,Downtown Core,
DT17,N/A,Downtown,市中心,டௌன்டவுன்,22 December 2013,Landmark / Central Boulevard,DTN,Downtown Core,
DT18,N/A,Telok Ayer,直落亚逸,தெலுக் ஆயர்,22 December 2013,Cross Street / Telok Ayer,TLA,"Downtown Core, Outram",
DT19  NE4,N/A,Chinatown,牛车水,சைனாடவுன்,22 December 2013,Hong Lim / Chinatown,CNT,Outram,
DT20,N/A,Fort Canning,福康宁,ஃபோர்ட் கெனிங்,21 October 2017,River Valley / Fort Canning,FCN,"Museum Planning Area, Singapore River Planning Area",
DT21,N/A,Bencoolen,明古连,பென்கூலன்,21 October 2017,Bencoolen / Waterloo,BCL,"Museum Planning Area, Rochor",
DT22,N/A,Jalan Besar,惹兰勿刹,ஜாலான் புசார்,21 October 2017,Sungei Road / Jalan Besar,JLB,Rochor,
DT23,N/A,Bendemeer,明地迷亚,பெண்டிமியர்,21 October 2017,"Jalan Besar, Bendemeer / Kallang Avenue",BDM,Kallang,
DT24,N/A,Geylang Bahru,芽笼峇鲁,கேலாங் பாரு,21 October 2017,"Kallang Bahru, Geylang Bahru / Kolam Ayer",GLB,Kallang,
DT25,N/A,Mattar,玛达,மாத்தார்,21 October 2017,Mattar / Merpati,MTR,Geylang,
DT26  CC10,N/A,MacPherson,麦波申,மெக்பர்சன்,21 October 2017,MacPherson,MPS,Geylang,
DT27,N/A,Ubi,乌美,உபி,21 October 2017,Ubi / Kampong Ubi,UBI,Geylang,
DT28,N/A,Kaki Bukit,加基武吉,காக்கி புக்கிட்,21 October 2017,Kaki Bukit,KKB,Bedok,
DT29,N/A,Bedok North,勿洛北,பிடோக் நார்த்,21 October 2017,Bedok Town Park / Bedok North,BDN,Bedok,
DT30,N/A,Bedok Reservoir,勿洛蓄水池,பிடோக் ரெசவோர்,21 October 2017,Bedok Reservoir,BDR,Bedok,
DT31,N/A,Tampines West,淡滨尼西,தெம்பினிஸ் வெஸ்ட்,21 October 2017,Tampines West,TPW,Tampines,
DT32  EW2,N/A,Tampines,淡滨尼,தெம்பினிஸ்,21 October 2017,Tampines,TAM,Tampines,Tampines Bus Interchange  Tampines Concourse Bus Interchange
DT33,N/A,Tampines East,淡滨尼东,தெம்பினிஸ் ஈஸ்ட்,21 October 2017,Tampines East,TPE,Tampines,
DT34,N/A,Upper Changi,樟宜上段,அப்பர் சாங்கி,21 October 2017,Upper Changi / Somapah,UPC,Tampines,
DT35  CG1,TE [a],Expo,博览,எக்ஸ்போ,21 October 2017,Expo,XPO,Tampines,
Downtown Line Stage 3 Extension,Downtown Line Stage 3 Extension,Downtown Line Stage 3 Extension,Downtown Line Stage 3 Extension,Downtown Line Stage 3 Extension,Downtown Line Stage 3 Extension,Downtown Line Stage 3 Extension,Downtown Line Stage 3 Extension,Downtown Line Stage 3 Extension,Downtown Line Stage 3 Extension
N/A,DT36,Xilin,锡林,சீலின்,2024,Xilin,XLN,Tampines,
N/A,DT37  TE31,Sungei Bedok,双溪勿洛[17],சங்கை பிடோக்,2024,Sungei Bedok,SGB,Bedok,
Thomson–East Coast Line (TEL),Thomson–East Coast Line (TEL),Thomson–East Coast Line (TEL),Thomson–East Coast Line (TEL),Thomson–East Coast Line (TEL),Thomson–East Coast Line (TEL),Thomson–East Coast Line (TEL),Thomson–East Coast Line (TEL),Thomson–East Coast Line (TEL),Thomson–East Coast Line (TEL)
TE1  RTS,N/A,Woodlands North,兀兰北,உட்லண்ட்ஸ் நார்த்,31 January 2020[18],Woodlands North / Republic Polytechnic[d] / Admiralty Park,WDN,Woodlands,
TE2  NS9,N/A,Woodlands,兀兰,ஊட்லண்ட்ஸ்,31 January 2020[18],Woodlands,WDL,Woodlands,Woodlands Temporary Bus Interchange
TE3,N/A,Woodlands South,兀兰南,உட்லண்ட்ஸ் சவுத்,31 January 2020[18],Woodlands South / Ulu Sembawang / Woodgrove,WDS,Woodlands,
Stage 2,Stage 2,Stage 2,Stage 2,Stage 2,Stage 2,Stage 2,Stage 2,Stage 2,Stage 2
N/A,TE4,Springleaf,春叶,ஸ்பிரிங்லீஃவ்,2021,Springleaf / Nee Soon / Thong Soon,SPL,Yishun,
N/A,TE5,Lentor,伦多,லென்ட்டோர்,2021,Lentor / Ulu Seletar / Teachers' Estate,LTR,Ang Mo Kio,
N/A,TE6,Mayflower,美华,மேஃபிளவர்,2021,Mayflower / Kebun Baru / Ang Mo Kio West,MFL,Ang Mo Kio,
N/A,TE7  CR13,Bright Hill,光明山,பிரைட் ஹில்,2021,Sin Ming / Bishan Park / Bright Hill,BRH,Bishan,
N/A,TE8,Upper Thomson,汤申路上段[19],அப்பர் தாம்சன்,2021,Upper Thomson / Thomson Plaza / Thomson Park,UTS,Bishan,
CC17,TE9,Caldecott,加利谷,கால்டிகாட்,2021,Caldecott,CDT,Toa Payoh,
Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3
N/A,TE10,Mount Pleasant,快乐山,மவுண்ட் பிளசண்ட்,2022,Mount Pleasant / Whitley / Onraet,MPL,Novena,
DT10,TE11,Stevens,史蒂芬,ஸ்டீவன்ஸ்,2022,Stevens,STV,"Novena, Tanglin",
N/A,TE12,Napier,纳比雅,நேப்பியர்,2022,Napier / Botanic Gardens South / Taman Serasi,NPR,Tanglin,
N/A,TE13,Orchard Boulevard,乌节林荫道,ஆர்ச்சர்ட் பொலிவார்ட்,2022,Orchard Boulevard / Grange Road / Tanglin,OBV,"Orchard Planning Area, River Valley Planning Area",
NS22,TE14,Orchard,乌节,ஆர்ச்சர்ட்,2022,Orchard,ORC,"Orchard Planning Area, River Valley Planning Area",
N/A,TE15,Great World,大世界,கிரேட் வோர்ல்ட்,2022,Great World / Kim Seng / River Valley,GRW,"River Valley Planning Area, Singapore River Planning Area",
N/A,TE16,Havelock,合乐,ஹவ்லாக்,2022,Havelock / Bukit Ho Swee / Zion Road,HVL,Bukit Merah,
EW16  NE3,TE17,Outram Park,欧南园,ஊட்ரம் பார்க்,2022,Outram Park,OTP,"Bukit Merah, Outram",Kampong Bahru Bus Terminal
N/A,TE18,Maxwell,麦士威,மெச்ஸ்வெல்,2022,Maxwell / Ann Siang Hill / Neil Road,MAX,"Downtown Core, Outram",
N/A,TE19,Shenton Way,珊顿道,ஷென்ட்டன் வே,2022,Shenton Way / Asia Square / McCallum,SHW,Downtown Core,
